Billable Flag,Date,Department,Employee,Expense Subtype,Expense Type,Expense Amount
N,5/29/20 0:00,Sales,Donnajean Skellorne,Shipping,Operations,10.1
N,5/31/20 0:00,Sales,Danie Truin,Taxi,Travel,10.1
N,6/1/20 0:00,Sales,Helenka Lotte,Parking,Travel,10.1
N,6/3/20 0:00,Sales,Gare Winsor,Maintenance,Miscellaneous,10.1
N,6/7/20 0:00,Support,Pennie Hanvey,Parking,Travel,10.1
N,6/9/20 0:00,Sales,Pollyanna Slesser,Taxi,Travel,10.1
N,6/11/20 0:00,Sales,Horatio Kitcherside,Gasoline,Travel,10.1
N,6/13/20 0:00,Sales,Tani Lesser,Hardware,Operations,10.1
N,6/15/20 0:00,Sales,Elvin Chedzoy,Parking,Travel,10.1
N,6/15/20 0:00,Support,Thain Beacroft,Breakfast,Meals,10.1
N,6/15/20 0:00,Support,Thain Beacroft,Parking,Travel,10.1
N,6/17/20 0:00,Support,Thain Beacroft,Breakfast,Meals,10.1
N,6/18/20 0:00,Support,Sadella Dalgardno,Other,Miscellaneous,10.1
N,6/19/20 0:00,Support,Marinna Manford,Parking,Travel,10.1
N,6/19/20 0:00,Support,Thain Beacroft,Breakfast,Meals,10.1
N,6/20/20 0:00,Support,Inesita Scollick,Parking,Travel,10.1
N,6/20/20 0:00,Support,Inesita Scollick,Parking,Travel,10.1
N,6/22/20 0:00,Sales,Lauryn Eldershaw,Taxi,Travel,10.1
N,6/22/20 0:00,Human Resources,Lynn Divers,Taxi,Travel,10.1
N,6/22/20 0:00,Sales,Goldi Newcomen,Parking,Travel,10.1
N,6/23/20 0:00,Sales,Ginevra Filgate,Taxi,Travel,10.1
N,6/23/20 0:00,Support,Farra Duckett,Gasoline,Travel,10.1
N,6/25/20 0:00,Support,Thain Beacroft,Breakfast,Meals,10.1
N,6/26/20 0:00,Support,Ellery Aucock,Parking,Travel,10.1
N,6/29/20 0:00,Sales,Cornie Crowter,Breakfast,Meals,10.1
N,6/30/20 0:00,Support,Lonnard Luipold,Breakfast,Meals,10.1
N,6/30/20 0:00,Support,Lonnard Luipold,Taxi,Travel,10.1
N,7/5/20 0:00,Sales,Symon Foxall,Other,Miscellaneous,10.1
N,7/6/20 0:00,Sales,Hunter Espley,Taxi,Travel,10.1
N,7/6/20 0:00,Support,Sadella Dalgardno,Taxi,Travel,10.1
N,7/6/20 0:00,Sales,Goldi Newcomen,Parking,Travel,10.1
N,7/6/20 0:00,Support,Thain Beacroft,Breakfast,Meals,10.1
N,7/8/20 0:00,Human Resources,Marianna Monro,Other,Miscellaneous,10.1
N,7/9/20 0:00,Sales,Tani Lesser,Hardware,Operations,10.1
N,7/12/20 0:00,Sales,Symon Foxall,Dinner,Meals,10.1
N,7/13/20 0:00,Support,Gay Piecha,Other,Miscellaneous,10.1
N,7/14/20 0:00,Support,Thain Beacroft,Breakfast,Meals,10.1
N,7/17/20 0:00,Support,Maryjo Andreaccio,Breakfast,Meals,10.1
N,7/20/20 0:00,Sales,Fionnula Lorant,Parking,Travel,10.1
N,7/21/20 0:00,Support,Issy Simonato,Taxi,Travel,10.1
N,7/31/20 0:00,Support,Gay Piecha,Breakfast,Meals,10.1
N,7/31/20 0:00,Sales,Gabey Brake,Dinner,Meals,10.1
N,8/1/20 0:00,Support,Rowen Elam,Parking,Travel,10.1
N,8/3/20 0:00,Engineering,Olenka Rosas,Taxi,Travel,10.1
N,8/4/20 0:00,Support,Inesita Scollick,Parking,Travel,10.1
N,8/4/20 0:00,Support,Inesita Scollick,Parking,Travel,10.1
N,8/6/20 0:00,Sales,Cati Behning,Parking,Travel,10.1
N,8/14/20 0:00,Support,Ellery Aucock,Parking,Travel,10.1
N,8/15/20 0:00,Sales,Goldi Newcomen,Parking,Travel,10.1
N,8/16/20 0:00,Support,Pennie Hanvey,Parking,Travel,10.1
N,8/17/20 0:00,Support,Maryjo Andreaccio,Breakfast,Meals,10.1
N,8/26/20 0:00,Sales,Charin Tolley,Dinner,Meals,10.1
N,8/29/20 0:00,Support,Sherlocke Lantuff,Other,Miscellaneous,10.1
N,8/29/20 0:00,Sales,Pollyanna Slesser,Parking,Travel,10.1
N,8/29/20 0:00,Sales,Pollyanna Slesser,Taxi,Travel,10.1
N,8/30/20 0:00,Support,Farra Duckett,Lunch,Meals,10.1
N,9/3/20 0:00,Support,Ellery Aucock,Parking,Travel,10.1
N,9/7/20 0:00,Sales,Friederike Agdahl,Parking,Travel,10.1
N,9/9/20 0:00,Sales,Ginevra Filgate,Other,Miscellaneous,10.1
N,9/9/20 0:00,Sales,Ginevra Filgate,Taxi,Travel,10.1
N,9/9/20 0:00,Sales,Harcourt Barlass,Group Meal - External,Meals,10.1
N,9/9/20 0:00,Sales,Harcourt Barlass,Parking,Travel,10.1
N,9/13/20 0:00,Sales,Danie Truin,Taxi,Travel,10.1
N,9/14/20 0:00,Support,Gay Piecha,Lunch,Meals,10.1
N,9/14/20 0:00,Engineering,Sayre Zapater,Shipping,Operations,10.1
N,9/14/20 0:00,Support,Ellery Aucock,Parking,Travel,10.1
N,9/15/20 0:00,Sales,Kevyn Caswill,Parking,Travel,10.1
N,9/15/20 0:00,Sales,Kevyn Caswill,Taxi,Travel,10.1
N,9/15/20 0:00,Support,Pennie Hanvey,Parking,Travel,10.1
N,9/16/20 0:00,Support,Hedy Hodinton,Breakfast,Meals,10.1
N,9/16/20 0:00,Support,Hedy Hodinton,Breakfast,Meals,10.1
N,9/18/20 0:00,Sales,Charin Tolley,Gasoline,Travel,10.1
N,9/18/20 0:00,Sales,Charin Tolley,Parking,Travel,10.1
N,9/18/20 0:00,Sales,Horatio Kitcherside,Parking,Travel,10.1
N,9/21/20 0:00,Sales,Janka Sellen,Parking,Travel,10.1
N,9/23/20 0:00,Sales,Dolorita Housego,Taxi,Travel,10.1
N,9/23/20 0:00,Sales,Oby Stookes,Parking,Travel,10.1
N,9/23/20 0:00,Human Resources,Marianna Monro,Lunch,Meals,10.1
N,9/23/20 0:00,Human Resources,Marianna Monro,Other,Miscellaneous,10.1
N,9/30/20 0:00,Support,Farra Duckett,Taxi,Travel,10.1
N,9/30/20 0:00,Support,Lonnard Luipold,Other,Miscellaneous,10.1
N,10/1/20 0:00,Support,Gay Piecha,Breakfast,Meals,10.1
N,10/1/20 0:00,Support,Lindsey Schruurs,Parking,Travel,10.1
N,10/2/20 0:00,Sales,Daisey Todaro,Parking,Travel,10.1
N,10/2/20 0:00,Sales,Pollyanna Slesser,Taxi,Travel,10.1
N,10/6/20 0:00,Sales,Marline Dorrell,Gasoline,Travel,10.1
N,10/10/20 0:00,Sales,Gabey Brake,Taxi,Travel,10.1
N,10/16/20 0:00,Support,Ellery Aucock,Dinner,Meals,10.1
N,10/16/20 0:00,Support,Ellery Aucock,Parking,Travel,10.1
N,10/17/20 0:00,Sales,Helenka Lotte,Parking,Travel,10.1
N,10/19/20 0:00,Support,Ellery Aucock,Other,Miscellaneous,10.1
N,10/19/20 0:00,Support,Ellery Aucock,Parking,Travel,10.1
N,10/27/20 0:00,Sales,Kevyn Caswill,Parking,Travel,10.1
N,10/27/20 0:00,Sales,Kevyn Caswill,Taxi,Travel,10.1
N,11/1/20 0:00,Sales,Jennifer Arnold,Airfare,Travel,10.1
N,11/1/20 0:00,Sales,Jennifer Arnold,Internet,Operations,10.1
N,11/1/20 0:00,Sales,Jennifer Arnold,Parking,Travel,10.1
N,11/9/20 0:00,Sales,Friederike Agdahl,Other,Miscellaneous,10.1
N,11/10/20 0:00,Sales,Helenka Lotte,Parking,Travel,10.1
N,11/10/20 0:00,Sales,Willis Borthram,Parking,Travel,10.1
N,11/12/20 0:00,Support,Gabey Brake,Dinner,Meals,10.1
N,11/12/20 0:00,Support,Gabey Brake,Taxi,Travel,10.1
N,11/13/20 0:00,Support,Ellery Aucock,Parking,Travel,10.1
N,11/15/20 0:00,Sales,Jennifer Arnold,Gasoline,Travel,10.1
N,11/15/20 0:00,Sales,Stearn Bidwell,Parking,Travel,10.1
N,11/16/20 0:00,Sales,Janka Sellen,Parking,Travel,10.1
N,11/16/20 0:00,Sales,Janka Sellen,Taxi,Travel,10.1
N,11/18/20 0:00,Support,Marinna Manford,Dinner,Meals,10.1
N,11/23/20 0:00,Support,Gerek Axelby,Other,Miscellaneous,10.1
N,11/23/20 0:00,Engineering,Olenka Rosas,Taxi,Travel,10.1
N,11/23/20 0:00,Sales,Cati Behning,Other,Miscellaneous,10.1
N,11/30/20 0:00,Sales,Symon Foxall,Other,Miscellaneous,10.1
N,11/30/20 0:00,Sales,Pollyanna Slesser,Parking,Travel,10.1
N,11/30/20 0:00,Sales,Pollyanna Slesser,Taxi,Travel,10.1
N,12/1/20 0:00,Support,Inesita Scollick,Hotel,Travel,10.1
N,12/4/20 0:00,Sales,Cornie Crowter,Breakfast,Meals,10.1
N,12/4/20 0:00,Sales,Cornie Crowter,Parking,Travel,10.1
N,12/4/20 0:00,Support,Ellery Aucock,Parking,Travel,10.1
N,12/7/20 0:00,Sales,Daisey Todaro,Parking,Travel,10.1
N,12/8/20 0:00,Support,Lonnard Luipold,Parking,Travel,10.1
N,12/10/20 0:00,Sales,Lauryn Eldershaw,Airfare,Travel,10.1
N,12/11/20 0:00,Sales,Horatio Kitcherside,Parking,Travel,10.1
N,12/15/20 0:00,Support,Janel Hradsky,Parking,Travel,10.1
N,12/15/20 0:00,Sales,Ginevra Filgate,Taxi,Travel,10.1
N,12/17/20 0:00,Support,Gay Piecha,Breakfast,Meals,10.1
N,12/17/20 0:00,Sales,Janka Sellen,Parking,Travel,10.1
N,12/17/20 0:00,Support,Farra Duckett,Gasoline,Travel,10.1
N,12/18/20 0:00,Sales,Karole Verner,Hotel,Travel,10.1
N,12/18/20 0:00,Support,Gabey Brake,Parking,Travel,10.1
N,12/18/20 0:00,Sales,Erny Martensen,Parking,Travel,10.1
N,12/21/20 0:00,Support,Grannie Eales,Other,Miscellaneous,10.1
N,12/23/20 0:00,Sales,Willis Borthram,Taxi,Travel,10.1
Y,1/2/20 0:00,Support,Grannie Eales,Parking,Travel,10.1
Y,1/10/20 0:00,Support,Russell Witchalls,Hotel,Travel,10.1
Y,1/23/20 0:00,Support,Grannie Eales,Internet,Operations,10.1
Y,2/1/20 0:00,Support,Grannie Eales,Internet,Operations,10.1
Y,2/1/20 0:00,Support,Grannie Eales,Taxi,Travel,10.1
Y,2/8/20 0:00,Support,Grannie Eales,Taxi,Travel,10.1
Y,2/11/20 0:00,Support,Maryellen Gavin,Taxi,Travel,10.1
Y,3/23/20 0:00,Support,Hedy Hodinton,Breakfast,Meals,10.1
Y,3/23/20 0:00,Support,Hedy Hodinton,Breakfast,Meals,10.1
Y,4/6/20 0:00,Support,Rafaela Beels,Taxi,Travel,10.1
Y,4/6/20 0:00,Support,Rafaela Beels,Taxi,Travel,10.1
Y,4/10/20 0:00,Support,Russell Witchalls,Hotel,Travel,10.1
Y,4/12/20 0:00,Support,Russell Witchalls,Hotel,Travel,10.1
Y,4/17/20 0:00,Support,Russell Witchalls,Hotel,Travel,10.1
Y,4/21/20 0:00,Support,Maryellen Gavin,Hardware,Operations,10.1
Y,4/24/20 0:00,Support,Russell Witchalls,Hotel,Travel,10.1
Y,5/8/20 0:00,Support,Russell Witchalls,Hotel,Travel,10.1
Y,5/9/20 0:00,Support,Graeme Cafferky,Lunch,Meals,10.1
Y,6/8/20 0:00,Support,Maryellen Gavin,Lunch,Meals,10.1
Y,6/21/20 0:00,Support,Russell Witchalls,Hotel,Travel,10.1
Y,7/2/20 0:00,Support,Sherlocke Lantuff,Other,Miscellaneous,10.1
Y,7/9/20 0:00,Support,Graeme Cafferky,Lunch,Meals,10.1
Y,7/9/20 0:00,Support,Thain Beacroft,Breakfast,Meals,10.1
Y,8/19/20 0:00,Support,Graeme Cafferky,Lunch,Meals,10.1
Y,8/19/20 0:00,Support,Graeme Cafferky,Taxi,Travel,10.1
Y,9/3/20 0:00,Support,Graeme Cafferky,Lunch,Meals,10.1
Y,9/5/20 0:00,Support,Graeme Cafferky,Gasoline,Travel,10.1
Y,10/3/20 0:00,Support,Marshal Hicklingbottom,Lunch,Meals,10.1
Y,10/3/20 0:00,Support,Marshal Hicklingbottom,Lunch,Meals,10.1
Y,10/20/20 0:00,Support,Maryjo Andreaccio,Breakfast,Meals,10.1
Y,10/21/20 0:00,Support,Graeme Cafferky,Lunch,Meals,10.1
Y,10/23/20 0:00,Support,Maryjo Andreaccio,Lunch,Meals,10.1
Y,10/23/20 0:00,Support,Maryjo Andreaccio,Taxi,Travel,10.1
Y,11/2/20 0:00,Support,Cyril Pask,Other,Miscellaneous,10.1
Y,11/12/20 0:00,Support,Graeme Cafferky,Gasoline,Travel,10.1
Y,11/20/20 0:00,Support,Maryjo Andreaccio,Breakfast,Meals,10.1
Y,11/20/20 0:00,Support,Maryjo Andreaccio,Lunch,Meals,10.1
Y,12/3/20 0:00,Support,Graeme Cafferky,Lunch,Meals,10.1
Y,12/18/20 0:00,Support,Graeme Cafferky,Breakfast,Meals,10.1
Y,12/18/20 0:00,Support,Graeme Cafferky,Lunch,Meals,10.1
N,7/6/20 0:00,Support,Rowen Elam,Hotel,Travel,10.11
N,8/26/20 0:00,Support,Janel Hradsky,Hotel,Travel,10.11
N,9/19/20 0:00,Support,Inesita Scollick,Gasoline,Travel,10.11
N,9/19/20 0:00,Support,Inesita Scollick,Gasoline,Travel,10.11
N,10/23/20 0:00,Support,Marinna Manford,Hotel,Travel,10.11
N,10/25/20 0:00,Engineering,Cortney Gosneye,Hotel,Travel,10.11
N,10/26/20 0:00,Sales,Hansiain Allwell,Hotel,Travel,10.11
